name,lat,lon,country,state
Xinzhou,38.4178,112.7233,CN,Shanxi
Lanzhou,36.0617,103.8318,CN,Gansu
Wuzhou,23.4833,111.3167,CN,Guangxi
Athens,37.9842,23.7281,GR,Attikí
Addis Ababa,9.0300,38.7400,ET,Ādīs Ābeba
Chaoyang,41.5757,120.4486,CN,Liaoning
Brasilia,-15.7939,-47.8828,BR,Distrito Federal
Taichung,24.1439,120.6794,TW,Taichung
Kuwait City,29.3697,47.9783,KW,Al ‘Āşimah
Budapest,47.4925,19.0514,HU,Budapest
Shaoguan,24.8011,113.5927,CN,Guangdong
Shanwei,22.7664,115.3331,CN,Guangdong
Quezon City,14.6300,121.0300,PH,Quezon
Rizhao,35.4164,119.4331,CN,Shandong
Kyiv,50.4500,30.5233,UA,"Kyiv, Misto"
Sanaa,15.3483,44.2064,YE,Amānat al ‘Āşimah
Meishan,30.0575,103.8381,CN,Sichuan
Incheon,37.4833,126.6333,KR,Incheon
Guatemala City,14.6099,-90.5252,GT,Guatemala
Birmingham,52.4800,-1.9025,GB,Birmingham
Zhongshan,22.5333,113.3500,CN,Guangdong
Ningde,26.6617,119.5228,CN,Fujian
Weihai,37.5000,122.1000,CN,Shandong
Daqing,46.5979,125.0080,CN,Heilongjiang
Bursa,40.1833,29.0500,TR,Bursa
Salvador,-12.9747,-38.4767,BR,Bahia
Rome,41.8931,12.4828,IT,Lazio
Haikou,20.0200,110.3200,CN,Hainan
La Paz,-16.5000,-68.1500,BO,La Paz
Xiangtan,27.8431,112.9228,CN,Hunan
Pyongyang,39.0194,125.7381,KP,P’yŏngyang
Minneapolis,44.9635,-93.2678,US,Minnesota
Omdurman,15.6500,32.4833,SD,Khartoum
Malang,-7.9800,112.6200,ID,Jawa Timur
Mudanjiang,44.5861,129.5997,CN,Heilongjiang
Stuttgart,48.7775,9.1800,DE,Baden-Württemberg
Brooklyn,40.6501,-73.9496,US,New York
Kaohsiung,22.6150,120.2975,TW,Kaohsiung
Guayaquil,-2.1900,-79.8875,EC,Guayas
Lisbon,38.7253,-9.1500,PT,Lisboa
Longyan,25.0881,117.0244,CN,Fujian
Tieling,42.2841,123.8365,CN,Liaoning
Manchester,53.4794,-2.2453,GB,Manchester
Baotou,40.6562,109.8345,CN,Inner Mongolia
Handan,36.6116,114.4894,CN,Hebei
Cawnpore,26.4499,80.3319,IN,Uttar Pradesh
Dingxi,35.5806,104.6263,CN,Gansu
Nanping,26.6448,118.1728,CN,Fujian
Tampa,27.9945,-82.4447,US,Florida
Zigong,29.3498,104.7645,CN,Sichuan
Maracaibo,10.6333,-71.6333,VE,Zulia
Chaozhou,23.6700,116.6300,CN,Guangdong
Mbuji-Mayi,-6.1500,23.6000,CD,Kasaï Oriental
Denver,39.7620,-104.8758,US,Colorado
Gulou,26.0865,119.2980,CN,Fujian
Weifang,36.7167,119.1000,CN,Shandong
Huai'an,33.5058,119.1392,CN,Jiangsu
Zibo,36.7831,118.0497,CN,Shandong
Ankang,32.6877,109.0235,CN,Shaanxi
Baoshan,25.1211,99.1690,CN,Yunnan
Antananarivo,-18.9333,47.5167,MG,Antananarivo
Huludao,40.7094,120.8378,CN,Liaoning
Munich,48.1375,11.5750,DE,Bavaria
Yanjiang,30.1256,104.6397,CN,Sichuan
Santo Domingo,18.4764,-69.8933,DO,Ozama
Sanming,26.2658,117.6302,CN,Fujian
Tashkent,41.3111,69.2797,UZ,Toshkent
Longba,33.5350,105.3490,CN,Gansu
Yangjiang,21.8556,111.9627,CN,Guangdong
Jiamusi,46.8081,130.3653,CN,Heilongjiang
Luohe,33.5830,114.0109,CN,Henan
Lincang,23.8864,100.0871,CN,Yunnan
Medellin,6.2308,-75.5906,CO,Antioquia
Xuanzhou,30.9475,118.7518,CN,Anhui
Yunfu,22.9242,112.0353,CN,Guangdong
Shaoxing,30.0000,120.5833,CN,Zhejiang
Yantai,37.3997,121.2664,CN,Shandong
Huizhou,23.1115,114.4152,CN,Guangdong
Lishui,28.4500,119.9167,CN,Zhejiang
Mirzapur,25.1460,82.5690,IN,Uttar Pradesh
Hamburg,53.5500,10.0000,DE,Hamburg
Guangyuan,32.4353,105.8398,CN,Sichuan
Cali,3.4206,-76.5222,CO,Valle del Cauca
Lusaka,-15.4167,28.2833,ZM,Lusaka
Huangshi,30.2018,115.0326,CN,Hubei
Xining,36.6239,101.7787,CN,Qinghai
Ouagadougou,12.3686,-1.5275,BF,Centre
Daegu,35.8717,128.6017,KR,Daegu
Fortaleza,-3.7275,-38.5275,BR,Ceará
Yaounde,3.8667,11.5167,CM,Centre
Jilin,43.8519,126.5481,CN,Jilin
Dandong,40.1167,124.3833,CN,Liaoning
Zhuhai,22.2769,113.5678,CN,Guangdong
Lianshan,40.7523,120.8280,CN,Liaoning
Yingkou,40.6653,122.2297,CN,Liaoning
Antalya,36.8874,30.7075,TR,Antalya
Nagpur,21.1497,79.0806,IN,Mahārāshtra
Queens,40.7498,-73.7976,US,New York
Accra,5.5500,-0.2000,GH,Greater Accra
Bekasi,-6.2349,106.9923,ID,Jawa Barat
Ghaziabad,28.6700,77.4200,IN,Uttar Pradesh
Yuxi,24.3495,102.5432,CN,Yunnan
Luoyang,34.6587,112.4245,CN,Henan
Brisbane,-27.4678,153.0281,AU,Queensland
Anshun,26.2456,105.9340,CN,Guizhou
Depok,-6.3940,106.8225,ID,Jawa Barat
Shangzhou,33.8680,109.9244,CN,Shaanxi
Huainan,32.4831,117.0164,CN,Anhui
Colombo,6.9344,79.8428,LK,Western
Kuaidamao,41.7302,125.9471,CN,Jilin
Baku,40.3667,49.8352,AZ,Bakı
Fukuoka,33.5833,130.4000,JP,Fukuoka
Yan'an,36.5952,109.4863,CN,Shaanxi
Jincheng,35.4906,112.8483,CN,Shanxi
Vancouver,49.2500,-123.1000,CA,British Columbia
Nantong,31.9829,120.8873,CN,Jiangsu
Tangerang,-6.1783,106.6319,ID,Jawa Barat
Caracas,10.4806,-66.9036,VE,Distrito Capital
Sanmenxia,34.7736,111.1950,CN,Henan
Laibin,23.7333,109.2333,CN,Guangxi
Konya,37.8667,32.4833,TR,Konya
Manaus,-3.1000,-60.0167,BR,Amazonas
Esfahan,32.6447,51.6675,IR,Eşfahān
Qinbaling,35.7278,107.6400,CN,Gansu
Baltimore,39.3051,-76.6144,US,Maryland
Ma'anshan,31.6858,118.5101,CN,Anhui
Shengli,37.4500,118.4667,CN,Shandong
Gaoping,30.7824,106.1281,CN,Sichuan
Taizhou,28.6583,121.4221,CN,Zhejiang
Harare,-17.8292,31.0522,ZW,Harare
Kowloon,22.3167,114.1833,HK,
Las Vegas,36.2333,-115.2654,US,Nevada
Havana,23.1367,-82.3589,CU,La Habana
Perth,-31.9559,115.8606,AU,Western Australia
Phnom Penh,11.5694,104.9211,KH,Phnom Penh
Puning,23.2993,116.1586,CN,Guangdong
Huaibei,33.9562,116.7890,CN,Anhui
Qingyang,24.8141,118.5792,CN,Fujian
Haiphong,20.8651,106.6838,VN,Hải Phòng
Chongzuo,22.4167,107.3667,CN,Guangxi
Rawalpindi,33.6000,73.0333,PK,Punjab
Yushan,31.3867,120.9766,CN,Jiangsu
St. Louis,38.6359,-90.2451,US,Missouri
Kumasi,6.6667,-1.6167,GH,Ashanti
